Model,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
pruned_model_1.pth,18.0737,5.501772611217035,1679.3215420833333,1383.375471501301,118.04376941666666,25.257432142356194,0.29249946666666665,0.14889158652892726,0.08964091666666665,0.07726081787777252,821.5925,788.1137822655517
pruned_model_10.pth,18.098225333333332,5.435571272982993,1658.8379453333334,1366.784403181162,125.01771991666666,23.998756522669545,0.294336,0.14902340363325686,0.08967791666666666,0.07642222474094176,821.5925,788.1137822655517
pruned_model_11.pth,18.097078083333333,5.4299211601842,1655.4612471666667,1361.3217786591476,124.3230105,24.416172435846097,0.2954173333333333,0.1493861685789747,0.08954858333333333,0.07649080151837746,821.5925,788.1137822655517
pruned_model_12.pth,18.07267566666667,5.373827804271939,1654.4251488333334,1354.710686502554,126.10852025,25.04089780886613,0.2953574666666667,0.14974614448447812,0.08949416666666667,0.07645304434289478,821.5925,788.1137822655517
pruned_model_13.pth,18.07727025,5.369622362690404,1653.6587773333333,1355.5493368071695,126.44993316666667,23.671712973053204,0.2953004,0.14973146666388829,0.08945066666666666,0.07656625143367271,821.5925,788.1137822655517
pruned_model_14.pth,18.067003666666665,5.3345754670168155,1654.48719175,1357.333382021425,127.31868833333334,23.26013222857025,0.2955310666666667,0.14948630296639775,0.11123841666666666,0.11134720509542158,821.5925,788.1137822655517
pruned_model_15.pth,18.069993750000002,5.3069096897266865,1650.1283235,1356.1129760866215,125.24721233333332,23.288877109688837,0.29672733333333334,0.14933621116407775,0.15296308333333333,0.1463077551881075,821.5925,788.1137822655517
pruned_model_16.pth,17.976996166666666,5.1819993189215205,1660.3393815833333,1357.6015915051382,122.88008258333333,25.001117357761604,0.3003282666666667,0.1498062326611314,0.15185991666666665,0.14566314110722747,821.5925,788.1137822655517
pruned_model_17.pth,17.947303916666666,5.1094043637936535,1659.11771825,1353.4816195695648,121.41742333333333,25.278231178146193,0.30342373333333333,0.1504445176599027,0.15130641666666667,0.14497628399015028,821.5925,788.1137822655517
pruned_model_18.pth,17.96065975,5.114212220642564,1654.1565213333333,1349.4421646169515,120.92185599999999,24.767256765791597,0.304896,0.1510126538168808,0.15073683333333332,0.14430173053189957,821.5925,788.1137822655517
pruned_model_19.pth,17.905685333333334,5.055134800783916,1662.8245778333333,1349.887149044136,118.42702508333333,26.378457635942688,0.30358826666666666,0.15155104890066826,0.1504655,0.14404719697219476,821.5925,788.1137822655517
pruned_model_2.pth,18.076529666666666,5.498522539775596,1678.4222090833334,1383.7364651020507,117.63410200000001,25.31877377294368,0.29257866666666665,0.14887835366659646,0.15061466666666665,0.14433204362592725,821.5925,788.1137822655517
pruned_model_20.pth,17.90505825,5.031719708736571,1662.6569737500001,1352.4593419273754,118.426299,26.512531124936768,0.3058132,0.15187003552164519,0.15083533333333332,0.14446165434537417,821.5925,788.1137822655517
pruned_model_21.pth,17.958024416666667,5.034065761276153,1641.96560675,1332.6900108145574,120.75920508333334,24.35728651497211,0.30717106666666666,0.15218937671437027,0.1508408333333333,0.1445090688334754,821.5925,788.1137822655517
pruned_model_22.pth,17.962819999999997,4.978002182114589,1632.4376643333335,1322.9767668996371,116.17704033333332,23.405915043043606,0.3078382666666667,0.152575110141339,0.15064349999999999,0.14435260551862822,821.5925,788.1137822655517
pruned_model_23.pth,17.946155666666666,4.973488465317558,1631.0166606666667,1307.1221974481443,118.36670258333334,23.238658172928872,0.3134576,0.15443524648229787,0.15075233333333332,0.14442548625082732,821.5925,788.1137822655517
pruned_model_24.pth,17.928658416666668,4.837296084255286,1614.9089508333332,1286.789053812945,123.38056691666667,24.193986914971568,0.3156485333333333,0.1553260127758451,0.15065466666666666,0.1443246041198481,821.5925,788.1137822655517
pruned_model_25.pth,17.928114083333334,4.708236632082094,1598.257525,1281.626337680947,123.63448333333334,25.295600670251872,0.3195288,0.15524353105945427,0.14953416666666666,0.14294491266225218,821.5925,788.1137822655517
pruned_model_26.pth,17.723874499999997,4.65934693230135,1652.5543935833334,1290.6529643609215,128.81993983333334,25.99193509196493,0.3251350666666667,0.15501145927641902,0.14959416666666667,0.14285748673848558,821.5925,788.1137822655517
pruned_model_27.pth,17.8065265,4.7031038112964225,1631.0086060833332,1282.9752929554586,127.19605674999998,25.3072030396937,0.32415453333333333,0.15407619852760895,0.14969141666666666,0.1432098876751637,821.5925,788.1137822655517
pruned_model_28.pth,17.753142083333334,4.686173164992688,1645.2825558333334,1287.5024304414833,128.38555575,26.413031886350623,0.32705066666666666,0.15262241913729443,0.14976966666666666,0.1433349526590323,821.5925,788.1137822655517
pruned_model_29.pth,17.699925083333333,4.574043619644204,1639.7620536666666,1258.9224097650585,130.06758033333335,26.031967180374224,0.3275670666666667,0.15229570902045675,0.14982066666666666,0.1433516992607913,821.5925,788.1137822655517
pruned_model_3.pth,18.069884416666667,5.481338322975931,1678.4184157500001,1383.6620799809773,117.44483783333334,25.579857498298928,0.2926566666666667,0.1489129032888356,0.149678,0.14336183876242814,821.5925,788.1137822655517
pruned_model_30.pth,17.698,4.541014213229683,1633.2333945833334,1249.2281882148045,129.40797158333334,25.424812022166517,0.33354306666666667,0.1522240582950913,0.14923908333333333,0.14277729170523565,821.5925,788.1137822655517
pruned_model_31.pth,17.607607,4.530483367127342,1664.1849585,1271.867806976992,133.38761916666667,26.42410777121629,0.33814493333333334,0.15281791942152592,0.149454,0.1431270936549578,821.5925,788.1137822655517
pruned_model_32.pth,17.475689583333335,4.397177516992742,1697.8930480833335,1308.723802979009,140.44027599999998,27.00847466854044,0.34059786666666664,0.15202651943744958,0.14962625000000002,0.1431629718759981,821.5925,788.1137822655517
pruned_model_33.pth,17.615531,4.47183418396893,1663.1309645,1297.7934991021252,131.9445825,26.23590631640754,0.33863946666666667,0.1519864478700776,0.14955366666666667,0.1432880927286716,821.5925,788.1137822655517
pruned_model_34.pth,17.567732499999998,4.291093037837396,1650.2388940833332,1268.6908846231693,131.44938825,28.10077953519038,0.3448177333333333,0.15274011757519623,0.14923816666666667,0.1429861301122453,821.5925,788.1137822655517
pruned_model_35.pth,17.392785083333333,4.158247571847602,1697.00235325,1305.727357765682,134.13311483333334,28.91599367188004,0.3478446666666667,0.15564485829640404,0.14926699999999998,0.1430400971831622,821.5925,788.1137822655517
pruned_model_36.pth,17.079220333333332,4.066321723210107,1814.8735125833334,1432.9678250078036,140.5011404166667,29.058434656137212,0.3562461333333333,0.15984950642606036,0.14943108333333333,0.14318337382861124,821.5925,788.1137822655517
pruned_model_37.pth,16.887435083333333,4.057144085115001,1903.7009178333333,1531.661964894786,138.81203366666665,29.14578955514173,0.36270853333333336,0.16000046464129244,0.14961658333333333,0.1433232108521407,821.5925,788.1137822655517
pruned_model_38.pth,16.7641445,3.7410552429377493,1847.0664559166664,1311.368837307162,142.1898705,30.318705756122505,0.3568422666666667,0.15175105998247032,0.14918375,0.1427632020310181,821.5925,788.1137822655517
